frame,time_sec,anchor_x,anchor_y,tip_x,tip_y,quality,length_env_px,length_axis_px,length_axis_skeleton_px,length_axis_alt_px,length_axis_disagreement_px,centerline_disagreement,diameter_max_px,diameter_max_orth_px,diameter_max_thickness_px,diameter_max_feret_px,diameter_p95_px,diameter_peak_span_px,diameter_peak_pos_norm,area_proj_px2,area_proj_contour_px2,area_proj_definition_gap_px2,body_mask_area_px2,component_area_px2,excluded_attachment_area_px2,body_mask_attachment_leak_fraction,attachment_count,attachment_border_touch_count,attachment_max_elongation,attachment_max_solidity,attachment_max_orientation_mismatch_deg,attachment_max_distance_to_main_axis_px,x_peak_norm,taper_left_px,taper_right_px,landing_zone_left_px,landing_zone_right_px,transition_zone_left_px,transition_zone_right_px,compaction_zone_length_px,zone_symmetry,branch_count_after_pruning,endpoint_jump_px,axis_peak_position_stability,centerline_points,length_axis_formal_px,anchor_jump_px,tip_jump_px,length_axis_ref_px,length_env_ref_px,foreshortening_axis,foreshortening_env,temperature_c,austenite_fraction,length_env_recovery,length_axis_recovery,diameter_max_recovery,area_proj_recovery,length_env_smooth,length_axis_smooth,diameter_max_smooth,area_proj_smooth_px2,compaction_zone_smooth,body_mask_area_smooth_px2,axis_definition_gap_smooth_px
0,0.0,125.96297135798231,201.28900149970892,464.8608319298164,184.65967686147644,0.6808990992387628,352.18675220909034,394.4090752162859,348.77846319733356,348.77846319733356,45.63061201895232,0.11569361580721596,51.5,51.5,36.3565673828125,86.86811475618163,46.29999999999999,341.49513945658185,0.8962642308975007,5640.932231580435,24390.0,-18749.067768419565,10435.0,10767.0,332.0,0.030834958670010217,1,0,1.588235294117647,0.8862275449101796,4.90192778161257,3.712138931447731,0.8962642308975007,0.0,0.0,0.0,0.0,5.999790223131043,25.914512380912527,362.4947726122423,0.9495074444043645,264,177.18098370282564,0.0,133,405.6918859589806,,,423.27415230407405,352.18675220909034,0.06819475493757987,0.0,25.0,0.0,0.11454089909127252,0.007537367426189602,0.09786042317048593,0.5412736904806484,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
1,0.05,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.851896035359565,137,405.6918859589806,0.9143681798933191,0.5804348122401385,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.1128,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
2,0.1,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.2256,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
3,0.15,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.3383,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
4,0.2,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.4511,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
5,0.25,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.5639,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
6,0.3,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.6767,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
7,0.35,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.7895,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
8,0.4,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,25.9023,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
9,0.45,126.04841231479587,200.37863398529498,465.136889444101,185.17026164392425,0.649485923807495,351.8768019014851,405.6918859589806,328.8104409747528,328.8104409747528,76.88144498422781,0.1895069821337301,51.5,51.5,36.756591796875,82.01896874198536,47.05,0.0,0.04436819553793564,5333.07773315991,22752.5,-17419.42226684009,9342.0,9663.0,321.0,0.0332194970506054,1,0,1.6875,0.8892355694227769,3.2702295302097713,3.5302114779180567,0.04436819553793564,0.0,0.0,0.0,0.0,5.9999652126134375,31.469627519889855,368.2222932264773,0.9372191971572937,211,135.08257036207058,0.0,137,405.6918859589806,0.0,0.0,423.27415230407405,352.18675220909034,0.041538719643959277,0.0008800737269674119,26.015,0.0,0.11631599844211049,0.007537367426189602,0.09786042317048593,0.48539509789284746,351.8768019014851,405.6918859589806,51.5,5333.07773315991,368.2222932264773,9342.0,76.88144498422781
